# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 98, mean track length: 2.0
113 4.502989252881342 0.7483999657073502 9.243936954477675 34 33 30 0.05037691603188858 84 2542 75 3470
112 4.465554164320235 0.7313127336314822 9.258385839317384 18 15 14 0.7516060538701107 84 2541 75 3468
110 4.603591688946914 0.6520739866695052 9.224957801564056 174 169 202 1.685767909510489 84 2458 75 3263
109 4.596483111627489 0.6570248074187259 9.225895686499143 33 34 39 0.8117673364541256 84 2405 75 3125
108 4.530149060580918 0.7414307640676271 9.233341016101338 242 235 219 0.24082259994964283 84 2355 75 3290
107 4.529070176059726 0.7310355702260622 9.234913856517986 253 247 255 1.3766420232205847 84 2346 75 3166
106 4.566154525839028 0.7072797745308598 9.222225269708183 255 255 255 0.29746087276298283 84 2334 75 3146
105 4.566154525839028 0.7072797745308598 9.222225269708183 255 255 255 0.29746087276298283 84 2333 75 3147
104 4.574657080376532 0.704610588259803 9.21999299376108 255 255 255 0.6279776931958725 84 2328 75 2950
103 4.562509355709923 0.7006215537788403 9.226251345537097 31 29 30 0.8439644886247539 84 2326 75 2947
102 4.562509355709923 0.7006215537788403 9.226251345537097 31 29 30 0.8439644886247539 84 2325 75 2946
100 4.576124350520362 0.6778835728269424 9.226224700659113 25 29 28 1.0569978841091707 84 2308 75 2928
99 4.600835805893901 0.6612075701994055 9.221962979880988 22 20 21 1.9594257327873263 84 2298 75 3128
98 4.542791454154832 0.7369587686430532 9.22348032828804 218 205 197 0.4462038531189453 84 2214 75 2973
97 4.534924464183869 0.7253815651145625 9.231837317877755 131 131 127 2.4709234102999105 84 2200 75 3158
96 4.5241342714571156 0.7220450970793931 9.239872488380016 48 50 54 2.476081929112191 84 2193 75 3156
95 4.5241342714571156 0.7220450970793931 9.239872488380016 48 50 54 2.476081929112191 84 2192 75 3155
93 4.572611836919181 0.6831564347916625 9.225565925698607 255 255 255 0.5130888213449032 84 2155 75 2614
92 4.572611836919181 0.6831564347916625 9.225565925698607 255 255 255 0.5130888213449032 84 2154 75 2613
91 4.5611866814416615 0.6722400404227724 9.230863121447207 36 50 46 1.18138622794555 84 2139 75 2922
90 4.5611866814416615 0.6722400404227724 9.230863121447207 36 50 46 1.18138622794555 84 2138 75 2923
88 4.563262683185971 0.6424378206301421 9.237854042341555 36 41 40 2.959530091303865 84 2115 75 2572
87 4.522890771293215 0.748737934460569 9.234403199356326 45 48 47 0.7810788340407071 84 1963 75 2266
86 4.52798635106465 0.7439150247625014 9.234899219374032 255 205 250 0.8879973458700761 84 1954 75 2671
84 4.442448176801527 0.7179263780552324 9.267391819809774 21 31 23 0.07892526114353877 84 1909 75 1512
83 4.565211234463527 0.6883525997044645 9.225975394249167 37 47 43 0.10202969814484171 84 1876 75 2154
82 4.61387162057914 0.6913269085587105 9.216630218212186 255 255 255 1.7459191725220626 84 1875 75 2148
81 4.452329801297834 0.692790171848478 9.265771566265308 18 20 18 0.7223075718381898 84 1864 75 2169
80 4.580432859844944 0.682621705008276 9.224405734067982 255 255 255 1.145208725972998 84 1861 75 2142
79 4.569648529541347 0.6745800596521615 9.228999206476557 255 255 255 0.12004120769541426 84 1850 75 2924
78 4.581899413467503 0.6743268333969381 9.22634314212354 254 255 255 1.2364634589235555 84 1849 75 2606
77 4.581899413467503 0.6743268333969381 9.22634314212354 254 255 255 1.2364634589235555 84 1848 75 2607
76 4.569077575938604 0.6697949748817366 9.231125998426705 31 43 63 0.18168223378986942 84 1847 75 2124
75 4.517128016377214 0.7566375237879894 9.23642624905526 22 20 22 1.2173582786317376 84 1657 75 1646
74 4.5486352417503895 0.7554276614850484 9.223277787909524 105 115 121 1.5101926884821673 84 1654 75 1644
73 4.542787201452461 0.7551328198358421 9.225751773836627 23 21 21 0.911548651200663 84 1653 75 1641
72 4.516401973174137 0.7466602162067189 9.239720083431344 27 38 28 0.4013687453367364 84 1640 75 2262
71 4.54019128904313 0.742311281528649 9.225570428217189 30 33 26 0.32469324848204595 84 1631 75 2667
70 4.524071353222855 0.741758313225876 9.237187010935282 99 119 139 0.314893143950264 84 1627 75 2243
69 4.504662996799747 0.71789112583892 9.255267816005382 255 255 255 2.673599285942561 84 1585 75 1493
67 4.607016088988067 0.7045095020694121 9.215647741293552 255 255 253 1.7161327008173708 84 1552 75 2172
66 4.568691546916135 0.7011971138223899 9.223135886966805 33 35 40 0.7636766388214661 84 1543 75 2174
65 4.458630269542262 0.7035439059394384 9.258989181996085 19 21 16 0.81305827759935 84 1534 75 1476
64 4.562369120126975 0.6919993061061612 9.225606502637003 255 255 255 0.33699025716219133 84 1528 75 1424
63 4.573637099225559 0.6872511435082801 9.224329993877141 24 23 27 0.5748862002171313 84 1514 75 2150
61 4.569880808914322 0.679656310164958 9.227376083876852 25 32 37 0.37403300115880855 84 1504 75 1395
60 4.3958344258039865 0.6862915687525665 9.357362290446304 255 255 255 0.20123949362725513 84 1487 75 1368
29 4.325855187899639 0.6855202108508758 9.513827575944191 94 117 124 0.19336261005350733 84 872 75 2033
28 4.325855187899639 0.6855202108508758 9.513827575944191 94 117 124 0.19336261005350733 84 871 75 2034
27 4.552419691968641 0.7523013535077657 9.219907703950195 31 29 28 1.4086058621017936 84 498 75 1632
26 4.551407419957531 0.738086289411571 9.218088681248446 29 37 33 0.19378096900753644 84 451 75 494
25 4.533807696050187 0.7310555803281624 9.231692431648966 255 254 250 1.4158936973939806 84 424 75 1556
24 4.540937940299774 0.7305268354800082 9.226063956664273 69 74 81 1.5866896124628074 84 422 75 1554
23 4.536027420751298 0.7288762246817173 9.230256616803313 52 48 45 1.746335841063685 84 408 75 1548
22 4.533102421794248 0.7274603699305259 9.232630904038327 54 52 47 1.8823735592799709 84 401 75 1541
21 4.536545046256332 0.7236401731725434 9.23079470344936 49 55 58 2.7272275472687455 84 386 75 1522
20 4.515436653156451 0.7190545201369098 9.247490448407241 62 59 60 2.6868808262663766 84 360 75 393
19 4.567191582370976 0.7133825790977467 9.220800792958826 36 44 35 0.2851849509360853 84 329 75 376
14 4.571507790921993 0.7084042644456862 9.219987049777037 43 35 35 0.36172382137213266 84 300 75 355
1 4.597679913899799 0.649433817961287 9.226904536736651 30 25 27 0.3102052519530617 84 35 75 148
2 4.570788731659305 0.6614899293138248 9.230367863247807 253 254 255 0.5294349275351612 84 77 75 1344
4 4.572207564528097 0.663870602511586 9.230083652845718 36 41 29 0.08063174937174773 84 88 75 209
5 4.679325922169644 0.6788750522641278 9.172605905537875 91 87 77 1.9433420559774204 84 94 75 2912
6 4.5691253901316955 0.6724098461339929 9.228363441512133 244 252 255 0.444960501771142 84 121 75 238
7 4.5674169809090275 0.6790392853318808 9.228830291218362 253 254 252 0.47609490774989893 84 145 75 267
8 4.5671289446681085 0.6849193037952505 9.226468174758988 255 255 255 0.1667980493306484 84 177 75 281
9 4.575599333077935 0.6906969523368778 9.22362869950075 247 255 253 0.7506066368878015 84 203 75 295
10 4.575599333077935 0.6906969523368778 9.22362869950075 247 255 253 0.7506066368878015 84 204 75 294
11 4.57311113630134 0.6933217208452486 9.223556732121683 214 252 254 0.5638537135618138 84 220 75 303
12 4.564269739264382 0.6943050148399563 9.224226553069425 28 35 44 0.18884680770600878 84 231 75 306
13 4.571507790921993 0.7084042644456862 9.219987049777037 43 35 35 0.36172382137213266 84 299 75 354
30 4.471404027748828 0.6588900543683367 9.263971680515823 81 87 74 1.9272785251353737 84 881 75 218
31 4.471404027748828 0.6588900543683367 9.263971680515823 81 87 74 1.9272785251353737 84 882 75 219
32 4.565476877637149 0.6566236432027747 9.23273433404297 255 255 253 1.4078724712356054 84 898 75 182
33 4.575124508036058 0.6575563189200885 9.229953383864233 237 255 254 0.8776938598956558 84 902 75 2103
34 4.5659237122243015 0.661247129434146 9.23266490061763 255 255 255 1.0980957664672404 84 909 75 1342
35 4.565789278162881 0.6686716820069417 9.231706776118152 252 255 255 0.48487374948175654 84 927 75 227
36 4.564642561835515 0.6848756848746917 9.226680058448082 255 255 255 0.05405407912629144 84 953 75 1408
37 4.570509636111584 0.691545690650236 9.223953652054057 60 81 68 0.261386926659318 84 977 75 298
38 4.576163340916214 0.6933196635337274 9.222544956882695 24 26 27 0.809198013337243 84 982 75 1427
39 4.554169835273542 0.7006235178332044 9.225934561203355 94 75 44 0.23874016130873574 84 1008 75 1456
40 4.554169835273542 0.7006235178332044 9.225934561203355 94 75 44 0.23874016130873574 84 1009 75 1455
41 4.556526435158056 0.7032093318265938 9.224987042184859 253 255 255 0.09566548777128409 84 1023 75 344
43 4.562744829102145 0.7139981353826768 9.221810085941467 37 41 45 0.1796968688894563 84 1068 75 383
44 4.4583938180859315 0.7336978605584425 9.256034411480401 30 39 27 0.248573704606219 84 1138 75 471
45 4.4583938180859315 0.7336978605584425 9.256034411480401 30 39 27 0.248573704606219 84 1139 75 472
46 4.547506129729801 0.7384227400564533 9.219842264229106 37 41 34 0.2664791493666562 84 1153 75 2238
47 4.505730687397452 0.7474560215670822 9.24473286823401 52 54 39 0.6868219937651389 84 1183 75 525
48 4.5371981667669505 0.7491573667396282 9.227748586188934 38 40 48 0.5603419156248268 84 1187 75 535
49 4.531964594588968 0.7549596113591305 9.22881664860163 18 20 24 0.6515389917188201 84 1199 75 568
50 4.526229530694734 0.7552242938321964 9.23097592209751 17 18 20 0.6756371628088794 84 1201 75 1640
51 4.566817584316802 0.6407807657253275 9.237256966606463 255 255 255 2.5089855948793733 84 1447 75 1298
